1902 	nlpkkt120 	Schenk 	3.542.400 	3.542.400 	95.117.792 	Optimization Problem 	2008 	
2388 	dielFilterV3real 	Dziekonski 	1.102.824 	1.102.824 	89.306.020 	Electromagnetics Problem 	2011 	
2551 	Long_Coup_dt6 	Janna 	1.470.152 	1.470.152 	84.422.970 	Structural Problem 	2012 	
2550 	Long_Coup_dt0 	Janna 	1.470.152 	1.470.152 	84.422.970 	Structural Problem 	2012 	
1252 	audikw_1 	GHS_psdef 	943.695 	943.695 	77.651.847 	Structural Problem 	2004 	
2541 	Serena 	Janna 	1.391.349 	1.391.349 	64.131.971 	Structural Problem 	2011 	
2545 	Geo_1438 	Janna 	1.437.960 	1.437.960 	60.236.322 	Structural Problem 	2011 	
2546 	Hook_1498 	Janna 	1.498.023 	1.498.023 	59.374.451 	Structural Problem 	2011 	
1586 	af_shell10 	Schenk_AFE 	1.508.065 	1.508.065 	52.259.885 	Structural Problem 	2006 	
2386 	dielFilterV2real 	Dziekonski 	1.157.456 	1.157.456 	48.538.952 	Electromagnetics Problem 	2011 	
1453 	bone010 	Oberwolfach 	986.703 	986.703 	47.851.783 	Model Reduction Problem 	2006 	
1268 	ldoor 	GHS_psdef 	952.203 	952.203 	42.493.817 	Structural Problem 	2004 	
1455 	boneS10 	Oberwolfach 	914.898 	914.898 	40.878.708 	Model Reduction Problem 	2006 	
2542 	Emilia_923 	Janna 	923.136 	923.136 	40.373.538 	Structural Problem 	2011 	
2661 	PFlow_742 	Janna 	742.793 	742.793 	37.138.461 	2D/3D Problem 	2014 	
1267 	inline_1 	GHS_psdef 	503.712 	503.712 	36.816.170 	Structural Problem 	2004 	
2282 	mouse_gene 	Belcastro 	45.101 	45.101 	28.967.291 	Undirected Weighted Graph 	2010 	
939 	nd24k 	ND 	72.000 	72.000 	28.715.634 	2D/3D Problem 	2003 	
1901 	nlpkkt80 	Schenk 	1.062.400 	1.062.400 	28.192.672 	Optimization Problem 	2008 	
2543 	Fault_639 	Janna 	638.802 	638.802 	27.245.944 	Structural Problem 	2011 	
1411 	F1 	Koutsovasilis 	343.791 	343.791 	26.837.113 	Structural Problem 	2006 	
2573 	CurlCurl_4 	Bodendiek 	2.380.515 	2.380.515 	26.515.867 	Model Reduction Problem 	2012 	
2280 	human_gene1 	Belcastro 	22.283 	22.283 	24.669.643 	Undirected Weighted Graph 	2010 	
